channel,region,object_id,feature_name,feature_value
nuclei_intensity,nuclei,23,q0_250,20994.5
nuclei_intensity,nuclei,23,q0_500,54586.0
nuclei_intensity,nuclei,23,q0_750,65535.0
nuclei_intensity,nuclei,23,q1_000,65535.0
nuclei_intensity,nuclei,24,q0_000,0.0
nuclei_intensity,nuclei,24,q0_250,26051.75
nuclei_intensity,nuclei,24,q0_500,49717.0
nuclei_intensity,nuclei,24,q0_750,65535.0
nuclei_intensity,nuclei,24,q1_000,65535.0
nuclei_intensity,nuclei,1,mean,23987.301315037163
nuclei_intensity,nuclei,1,std,9850.942900663704
nuclei_intensity,nuclei,2,mean,36703.54909983633
nuclei_intensity,nuclei,2,std,19748.604465364693
nuclei_intensity,nuclei,3,mean,21933.821327967806
nuclei_intensity,nuclei,3,std,8073.713623601186
nuclei_intensity,nuclei,4,mean,26049.205497382198
nuclei_intensity,nuclei,4,std,11651.969310035607
nuclei_intensity,nuclei,5,mean,24949.099276791585
nuclei_intensity,nuclei,5,std,10238.220583511564
nuclei_intensity,nuclei,6,mean,24848.314255243513
nuclei_intensity,nuclei,6,std,13743.571572994098
nuclei_intensity,nuclei,7,mean,29547.8273657289
nuclei_intensity,nuclei,7,std,15941.157338671632
nuclei_intensity,nuclei,8,mean,28488.195981804398
nuclei_intensity,nuclei,8,std,14561.124768341577
nuclei_intensity,nuclei,9,mean,26516.08203631647
nuclei_intensity,nuclei,9,std,13485.781376714749
nuclei_intensity,nuclei,10,mean,29840.811408016445
nuclei_intensity,nuclei,10,std,15252.989074033765
nuclei_intensity,nuclei,11,mean,32304.646075581397
nuclei_intensity,nuclei,11,std,13421.309565373722
nuclei_intensity,nuclei,12,mean,40928.65618336887
nuclei_intensity,nuclei,12,std,21280.31041264802
nuclei_intensity,nuclei,13,mean,37093.329313543596
nuclei_intensity,nuclei,13,std,16243.66164069247
nuclei_intensity,nuclei,14,mean,42086.18829268293
nuclei_intensity,nuclei,14,std,19611.39951839011
nuclei_intensity,nuclei,15,mean,34584.75704697987
nuclei_intensity,nuclei,15,std,14289.722571737195
nuclei_intensity,nuclei,16,mean,25142.318023255815
nuclei_intensity,nuclei,16,std,9014.028601233813
nuclei_intensity,nuclei,17,mean,21554.539360393603
nuclei_intensity,nuclei,17,std,7399.717504746365
nuclei_intensity,nuclei,18,mean,26480.602397602397
nuclei_intensity,nuclei,18,std,12513.091986875808
nuclei_intensity,nuclei,19,mean,26720.51307774991
nuclei_intensity,nuclei,19,std,11339.580692831694
nuclei_intensity,nuclei,20,mean,37922.62136684996
nuclei_intensity,nuclei,20,std,17635.747441859974
nuclei_intensity,nuclei,21,mean,37868.291560102305
nuclei_intensity,nuclei,21,std,17678.64840499279
nuclei_intensity,nuclei,22,mean,44567.60161290323
nuclei_intensity,nuclei,22,std,22699.152585359618
nuclei_intensity,nuclei,23,mean,44298.8550396376
nuclei_intensity,nuclei,23,std,23383.240075478367
nuclei_intensity,nuclei,24,mean,44043.38938053097
nuclei_intensity,nuclei,24,std,21293.174323551702
dist_to_lumen,nuclei,1,mean,8.016633033752441
dist_to_lumen,nuclei,2,mean,6.528813362121582
dist_to_lumen,nuclei,3,mean,9.500051498413086
dist_to_lumen,nuclei,4,mean,10.10485553741455
dist_to_lumen,nuclei,5,mean,11.767753601074219
dist_to_lumen,nuclei,6,mean,9.569931030273438
dist_to_lumen,nuclei,7,mean,9.505823135375977
dist_to_lumen,nuclei,8,mean,9.92736530303955
dist_to_lumen,nuclei,9,mean,8.432358741760254
dist_to_lumen,nuclei,10,mean,10.464152336120605
dist_to_lumen,nuclei,11,mean,8.97945499420166
dist_to_lumen,nuclei,12,mean,7.7910685539245605
dist_to_lumen,nuclei,13,mean,7.2353515625
dist_to_lumen,nuclei,14,mean,5.082404136657715
dist_to_lumen,nuclei,15,mean,6.728529453277588
dist_to_lumen,nuclei,16,mean,11.568222999572754
